[00:00]  Sottotitoli creati dalla comunità Amara.org
[17:31]  tra le quali appunto il riconoscimento ai fini sportivi degli affiliati, il mantenimento dell'affiliazione,
[17:36]  e anche la gestione di impianti sportivi e la lotta alla repressione dell'utilizzo del doping.
[17:43]  Ecco, questo è un tema su cui il legislatore si è molto soffermato per dare una valenza pubblica
[17:52]  a elementi a specificità e finalità che ha ritenuto di primaria importanza.
[17:57]  Come tutte le federazioni, lo statuto federale dà parecchio importanza alla responsabilità
[18:04]  assunta nel rispetto del principio di democrazia interna, per cui che possa garantire per statuto
[18:11]  a tutti la possibilità di poter partecipare in condizioni di guaglianza sia uomini a donne,
[18:18]  in opportunità, in conformità a coordinamento sportivo nazionale e internazionale,
[18:24]  all'offerta e pratica sportiva. Più recente da parte del CONI e delle federazioni,
[18:29]  ricepito anche dall'ordinamento della Finne, ad esempio la tutela della maternità delle atlete,
[18:36]  che per legge e per statuto garantisce ovviamente il mantenimento, la possibilità di riprendere
[18:43]  la carriera sportiva alle atlete che dovessero interromperlo per congedo, per maternità,
[18:49]  ed è un concetto ritenuto talmente importante che si è previsto che venisse esplicitato
[18:56]  direttamente nei statuti delle federazioni. La federazione nuoto, in particolare per statuto
[19:02]  e da atto della sua appartenenza alle organizzazioni internazionali di riferimento,
[19:08]  l'ALEN che è notoriamente la legge europea di disciplina per i sport natatori,
[19:14]  la COMEN che è la confederazione delle federazioni mediterranee dei sport acquatici,
[19:22]  la COLAN che è la confederazione dei paesi latini delle federazioni acquatiche,
[19:28]  e siamo anche aderenti con la sezione salvamento all'International Life Saving Federation
[19:35]  e all'International Life Saving Europe, sono le due organizzazioni mondiali ed europee
[19:42]  che regolano appunto l'attività sia di formazione ma anche sportiva legata al mondo del salvamento
[19:49]  a cui vi ho appena fatto riferimento. Su queste ultime due organizzazioni vale la pena
[19:54]  ricordare che per statuto internazionale sia mondiale che europeo sia la ILS prevedono
[20:02]  il riconoscimento di un unico soggetto per ogni paese in base alla configurazione
[20:07]  e alla sua organizzazione e per l'Italia l'organizzazione che viene riconosciuta
[20:14]  per l'attività del salvamento è appunto la Federazione italiana al moto perché su questo
[20:20]  settore in realtà sono presenti altre tre organizzazioni che formano assistenti bagnanti
[20:26]  ma che non hanno il riconoscimento internazionale della federazione mondiale e della federazione europea.
[20:34]  Da punto di vista dei scopi statutari abbiamo sostanzialmente una ripetizione della mission
[20:44]  e per cui l'articolo 2 declina in via semplificativa quali sono le attività principali
[20:51]  che la federazione deve svolgere da statuto. Ovviamente la principale è l'organizzazione disciplina
[20:57]  e la diffusione dei sport acquatici quelli che abbiamo appena citato.
[21:03]  Come mission ovviamente realizzare le condizioni per la migliore partecipazione alle competizioni nazionali internazionali
[21:11]  predisporre quanto necessario per la preparazione degli atleti e aprontare i mezzi necessari
[21:18]  per la partecipazione alle attività internazionali in particolare ai giochi olimpici
[21:23]  per questo è una delle federazioni come federazione olimpica destinataria di specifici anche contributi
[21:29]  destinati all'alto livello e alla preparazione olimpica e di nuovo tra gli obiettivi statutari ripetuti e sottolineati
[21:38]  d'intesa con il CONI tutte le misure di prevenzione e repressione all'uso di sostanze che alterino
[21:45]  le naturali prestazioni fisiche degli atleti per cui la battaglia alle pratiche di doping
[21:52]  e alle attività di verifica finché il fenomeno del doping non si diffonda all'interno delle discipline sportive natatorie
[22:01]  in più per statuto ma anche per legge deve assumere tutte le iniziative necessarie utili
[22:07]  per la tutela sanitaria assicurativa e previdenziale dei propri affiliati.
[22:13]  In ultimo ma l'abbiamo appena citato ultimo ma non ultimo il compito di organizzare attuali programmi di formazione dei tecnici
[22:23]  una parte di questa attività formativa riguarda gli assistenti bagnanti in realtà la federazione è molto presente
[22:30]  sull'attività formativa nel settore istruzione tecnica ha una tradizionale importante funzione di formazione
[22:38]  aggiornamento di quadri tecnici che in realtà ultimamente si è anche e ultimamente voluta
[22:45]  con l'adesione al sistema della qualifica europee della formazione tecnica denominata SNAC
[22:53]  sistema di classificazione europea delle qualifiche tecniche che consentono ai titoli rilasciati
[23:01]  tecnici dalla federazione anche un riconoscimento automatico sul territorio europeo perché i programmi
[23:08]  sono rispondenti alle linee guida agli indirizzi internazionali per cui c'è una grande importante attività
[23:16]  nel settore formativo della federazione evidentemente dal punto di vista dello statuto
[23:23]  l'importante sono alcune previsioni che riguardano anche i soggetti giuridici che la federazione riconosce
[23:31]  questi si dividono in due comparti i soggetti giuridici che sono le società e le associazioni sportive
[23:40]  che vengono affiliate annualmente dalla federazione è importante accennare il fatto che tutte le federazioni
[23:48]  al momento sono denominate organismi affilianti dal comitato olimpico nazionale perché per
[23:56]  regolamento e per legge sono i soggetti che devono valutare i requisiti delle società delle associazioni
[24:03]  ai fini dell'iscrizione al registro delle società sportive come è noto il registro delle società sportive
[24:09]  è tenuto presso il coni peraltro la riforma dello sport a breve lo attribuirà
[24:17]  direttamente alla responsabilità del dipartimento dello sport presso la presidenza del consiglio
[24:23]  ma le federazioni rimangono il front office rimangono gli organismi che devono valutare tutti
[24:30]  i requisiti che i soggetti giuridici che intendono affiliarsi al mondo dello sport
[24:36]  devono dimostrare di possedere ai fini della loro riconoscimenti a fini sportivi ai fini dell'iscrizione al registro delle società e delle associazioni sportive
[24:47]  da questo punto di vista le federazioni hanno un compito importante di verifica preventiva
[24:54]  e peraltro è una verifica continua perché devono entrare nel merito anche di tutte le modifiche statutarie
[25:03]  che in medio tempore le società e le associazioni possono operare sulla propria carta statutaria
[25:09]  e su una serie di condizioni senza le quali non possono essere affiliate perché non rispondenti alle previsioni di legge
[25:18]  per cui da questo punto di vista c'è anche una funzione di vigilanza di controllo e di certificazione della natura delle società delle associazioni
[25:28]  e dunque anche la rilascio del patentino che gli consente di poter entrare a far parte del sistema sportivo italiano
[25:38]  come persone fisiche attraverso il tesseramento sia il riconoscimento alla federazione
[25:44]  quali sono le persone fisiche che lo statuto riconosce? Sono gli atleti, dirigenzi federali, i dirigenti sociali, tecnici, ufficiali gara e medici federali e sociali
[25:55]  queste persone e questi soggetti sono le persone fisiche che anch'essi fanno parte della federazione
[26:02]  le società attraverso il provvedimento dell'affiliazione tutti i soggetti che io vi ho appena elencato entrono a far parte con il riconoscimento del tesseramento ai fini sportivi
[26:16]  dal punto di vista dei diritti e degli obblichi le società hanno una serie di necessari impegni da dover osservare
[26:28]  innanzitutto quello del rispetto delle norme statutarie regolamentari
[26:32]  è importante ricordare che le federazioni ha anche un potere disciplinare di cui parleremo un po' più nel dettaglio a breve
[26:41]  che consente a questi soggetti di poter operare provvedimenti disciplinari interni endo-federali interni alla federazione
[26:50]  che poi hanno una fase esofederale per cui una fase di appello definitivo esterno alla federazione
[26:57]  ma rispetto ai enormi regolamenti è anche garantito attraverso un sistema di verifica dell'operato delle società con delle correlate funzioni disciplinari con organi
[27:08]  che andremo bene a illustrare tra pochi minuti
[27:12]  i tesserati però sono anche portatori di diritti per cui hanno diritto di partecipare all'attività federale
[27:21]  nel rispetto alle norme tecniche emanate dalla federazione
[27:25]  hanno il diritto di partecipare all'assemblea elettive federale
[27:31]  secondo le norme statutarie che sono descritte nelle carte federali
[27:36]  e hanno ovviamente la possibilità di potersi vedere riconosciuti questi diritti nel momento che ne fossero ingiustamente privati
[27:46]  avvalendosi esattamente questi organi disciplinari di cui abbiamo appena parlato
[27:51]  prima degli organi disciplinari allora vediamo quali sono gli organi federali perché è importante averne una conoscenza generale
[28:00]  gli organi federali innanzitutto si distinguono per statuto in due categorie
[28:04]  organi centrali e organi periferici
[28:07]  gli organi centrali il principale degli organi centrali è l'assemblea nazionale delle società
[28:13]  che si riunisce ogni 4 anni che ha la funzione prioritaria principale ovviamente di procedere al rinnovo degli organi gestionali federali
[28:22]  e che rappresenta il consesso più importante dell'associazione perché riunisce tutti gli affiliati e tesserati che ne fanno parte
[28:32]  come organo centrale abbiamo il presidente della federazione, il consiglio federale che eletto appunto all'assemblea nazionale ogni 4 anni
[28:41]  il segretario generale attualmente che vi sta parlando è un organo centrale della federazione e il collegio dei divisori dei conti
[28:49]  la definizione di organo centrale e di organo è importante perché peraltro consente anche alle istituzioni interne di verifica e di valutazione
[29:01]  di verificare anche l'operato degli organi centrali e la loro rispondenza rispetto appunto all'attuazione dei fini statutari e regolamenti interni
[29:11]  gli organi periferici sono semplicemente le assemblee regionali che sono quelle che eleggono i comitati territoriali dunque i comitati regionali
[29:21]  abbiamo a nostra volta i collegi regionali dei divisori dei conti che vigino sull'attività amministrativa degli organi periferici
[29:30]  i residenti regionali, provinciali e i delegati locali per cui abbiamo una serie di figure principali, ce ne sono altre ma le principali sono queste
[29:42]  che sono la configurazione per statuto che ha il funzionamento, regola il funzionamento della federazione
[29:48]  importante è concentrarci un attimo sugli organi della giustizia sportiva, la giustizia sportiva qualche anno fa è stato oggetto di un riorno in abbassamento
[29:59]  di un riorno in abbastanza importante che ne ha dato soprattutto delle caratteristiche nuove con l'inserimento di un terzo grado di appello
[30:09]  presso il CONI con legge di garanzia del CONI e con un'ultima fase, una sorta di cassazione del giudizio sportivo di fronte appunto al TAR
[30:21]  nella giurisdizione del TAR del Lazio che è il tribunale preposto per la valutazione finale dei processi disciplinari che prevede che possano essere impugnati
[30:33]  in presenza di determinate diciamo lacune del giudicato o particolari tipi di provvedimenti disciplinari, non tutto è impugnabile al terzo al quarto grado
[30:46]  ma i principali provvedimenti sono tutti impugnabili anche a livello esofederale all'esterno della federazione. Quali sono gli organi federali?
[30:57]  E sono principalmente la commissione federale di garanzia, il giudice arbitro, il giudice sportivo nazionale, il giudice sportivo regionale, la corte sportiva di appello,
[31:08]  il tribunale federale, la corte federale di appello, il procuratore federale. Perché li cito? E li vado a trattare un po' più nello specifico, perché la riforma ne ha in qualche modo
[31:21]  sfilacciato le competenze e aumentato il numero degli organi preposti e spesso non c'è una diretta conoscenza delle funzioni e dell'attività che questi organi sono chiamati a svolgere
[31:33]  e dunque li andiamo un attimo a esaminare brevemente insieme.
[31:37]  Innanzitutto una premessa, tutti questi organi, quelli del sistema della giustizia sportiva, devono operare in base a rispetto al principio della separazione dei poteri di gestione federale di giustizia sportiva.
[31:50]  Cosa vuol dire? Spesso questo non viene sufficientemente compreso, di fronte a un provvedimento disqualifica o di fronte a un provvedimento disciplinare,
[31:59]  assunto dagli organi di giustizia, si ha la tendenza da ritenere che ci sia una sorta di responsabilità politico-sportiva del Consiglio federale piuttosto che del Presidente,
[32:11]  piuttosto che degli organi di indirizzo politico federali, mentre gli organi di giustizia federale devono operare, sarebbe grave il contrario, in piena autonomia e nel concetto della separazione di poteri tra gestione federale,
[32:28]  quelli degli organi politici di indirizzo e di gestione amministrativa e quelli dell'attività degli organi di giustizia sportiva in autonomia e senza possibilità di sovrapposizione di competenze nell'elaborazione e valutazione dell'azione disciplinare.
[32:45]  Perché è importante? È talmente importante che unitamente ai revisori dei conti, che hanno lo stesso principio, per i giudici sportivi non si ha decadenza né si può fare revoca del mandato conferito,
[33:01]  mentre qualsiasi alta attività federale, qualsiasi carica è revocabile, non è revocabile il collegio dei risultati dei conti che ha un organo di controllo e per cui la legge gli dà una tutela di non revocabilità di fronte alle decisioni che può assumere,
[33:18]  che potrebbe esporlo in una patologia teorica anche alla revoca del mandato da parte di una federazione, la stessa cautela al legislatore, la anche dedicata ai componenti degli organi di giustizia sportiva, che non sono comunque mai revocabili all'interno del quadriengno per i quali sono stati nominati.
[33:39]  È un aspetto molto importante. Su questo dunque ritengo che vada esaminato un po' più nel dettaglio le funzioni degli organi di giustizia sportiva. Vediamo un po' quali sono. Ecco, innanzitutto a che cosa si applica l'attività degli organi di giustizia sportiva?
[33:59]  Innanzitutto la giurisdizione. Gli organi di giustizia sportiva possono giudicare tutti i tesserati e gli affiliati alla federazione per fatti commessi in presenza di tesseramento che rappresentino violazione delle norme dello statuto, delle norme federali o delle norme applicative approvate dalla federazione.
[34:22]  Questo in realtà va esteso anche ai tesserati che hanno commesso delle violazioni alle norme federali e che al momento che sono posti sotto procedimento non siano più tesserati.
[34:34]  Per cui il principio che l'azione disciplinare è possibile solo nei confronti del tesserato può avere un'aderoga laddove la sanzione deve riguardare i leciti disciplinari compiuti da un tesserato che nel frattempo ha anche perso la funzione, la qualifica di tesserato federale.
[34:55]  Perché questo è previsto? Perché in realtà l'azione disciplinare si conclude, una sanzione può essere combinata in ogni caso e questo determina la circostanza che se il medesimo soggetto decide poi di riaffacciarsi a quell'organizzazione sportiva, nel momento che va a chiedere il tesseramento per regolamento dovrà comunque scontare la spalifica e la sanzione che non ha scontato avendo interrotto il periodo di tesseramento.
[35:23]  Per cui la giustizia sportiva e gli organi di giustizia riguardano i leciti compiuti da affiliati e tesserati o da quelli che hanno commesso i leciti in costanza di tesseramento ma che nel frattempo hanno perso la qualifica affinché me ne possano scontare gli effetti qualora dovessi orientare nel sistema sportivo di appartenenza.
[35:45]  Tutti i procedimenti per principio generale devono essere garantiti dal giusto processo, questo prevede lo statuto e il codice di giustizia del Cogni e delle federazioni, con la piena tutela dei diritti e degli interessi dei tesserati ed è in particolare garantita la parità delle parti in causa per cui l'accusa è la difesa ovviamente,
[36:08]  e il garantito è il contraddittorio della difesa per cui il deferito, l'accusato se preferite, ha il diritto di poter esplicitare la difesa all'interno dell'azione disciplinare, compreso alcuni istituti inseriti l'ordiamento sportivo tipici dell'ordinamento giuridico generale,
[36:31]  come la recusazione del giudice e la possibilità di revisione del giudizio, laddove sia dimostrato che il giudice ha un'incompatibilità a giudicare quel tesserato per motivi di pregressi, contatti e rapporti che possono essere intercorsi tra di loro,
[36:51]  o la revisione del giudizio, laddove sia dimostrato che la gestione del processo sportivo abbia violato norme del processo e del procedimento tali da poterne inficiare la validità della sanzione combinata e dunque far ottenere al soggetto che solleva la richiesta di revisione del giudizio la ripetizione del procedimento laddove siano ravvisati elementi nullità.
[37:21]  Un esempio pratico, abbiamo detto il diritto del contraddittorio e di difesa, se un giudice dovesse arrivare a sentenza su un tesserato non avendo dato possibilità al deferito di poter presentare le memorie difensive e poter replicare alle accuse della Procura federale,
[37:40]  ha diritto di potersi vedere annullata la sanzione e ripetere il processo perché sarebbero state in quel caso violate le norme del giusto processo, quelle che appunto consentono al tesserato di poter esplicitare la propria difesa all'interno dei gradi di giudizio.
[37:57]  Importante sapere che tra le garanzie che i principi degli organi dell'attività e giustizia sportiva prevedono è la garanzia del doppio livello di giudizio, non si può essere sanzionati in grado unico, ogni azione può essere impugnata a un giudizio di appello
[38:17]  e nei casi di sanzioni più importante e più grave addirittura ci si può rivolgere anche alla funzione di revisione che ha il collegio di garanzia presso il Comitato olimpico nazionale.
[38:31]  Dunque è quello che viene chiamato il doppio grado di giurisdizione sportiva ENDO o ESO federale, quello interno e quello tutto interno agli organi federali, quello ESO federale è quello che prevede l'impugnativa al CONI fino al TAR per le materie in cui il regolamento lo prevede.
