[00:00]  Sottotitoli creati dalla comunità Amara.org
[15:13]  Il lavoro dell'istruttore non si esaurisce nel possesso di competenze tecniche, ma implica una formazione personale mirata allo sviluppo delle capacità relazionali.
[15:28]  Lo stile dell'istruttore incide in una gestione efficiente della corsia, pertanto dovrà impostare una didattica attiva ed individualizzata all'interno di un gruppo, dimostrando di possedere adeguate capacità di attenzione e osservazione.
[15:47]  Ogni istruttore è chiamato a dare a tutti la possibilità di apprendere secondo i propri tempi e ritmi.
[15:56]  Le tipologie di allievi che ciascun istruttore incontra in una giornata di lavoro sono molto varie, bambini, adolescenti, adulti, anziani, ma tutti con il desiderio di apprendere o migliorare la propria capacità di muoversi in sicurezza in acqua.
[16:16]  Chi si iscrive ad un corso di nuoto ha un proprio interesse ed una propria motivazione, che però deve trovare uno spazio di realizzazione all'interno di un gruppo dinamico, collegato alla necessità del momento, alle capacità del singolo e in continua divenire.
[16:36]  Il gruppo in sé rappresenta un sistema complesso legato al numero degli elementi, alla tipologia degli elementi stessi ed alle relazioni che si instaurano al suo interno.
[16:50]  Bisogna però ottenere in considerazione che apprendere è un'azione individuale ma non solitaria e che l'efficacia dell'azione di insegnamento e di conseguenze risultati dell'apprendimento sono strettamente correlati alla capacità di gestione educativa e didattica del singolo e del gruppo da parte dell'istruttore.
[17:16]  Ed è importante considerare che un gruppo è un insieme di persone unite fra loro da vincoli naturali, da rapporti di interesse, da obiettivi comuni che stabiliscono tra loro relazioni interpersonali e di interdipendenza.
[17:32]  Per questo motivo un gruppo è qualcosa di diverso dalla somma dei suoi singoli componenti. Il nodo centrale della gestione del gruppo è la capacità dell'istruttore di guidare ed incanalare correttamente gli allievi considerando quelli che sono i loro bisogni e le loro particolarità ed il grado di maturità.
[17:59]  La conduzione del gruppo deve essere quindi intenzionale, sistematica ma anche flessibile.
[18:07]  Essere in sintonia con gli allievi vuol dire essere capaci di calibrare costantemente modalità ed atteggiamenti comunicativi e ciò richiede una continua attenzione ed una costante rimodulazione degli interventi.
[18:25]  È importante che l'istruttore sia capace di osservare gli allievi per essere in grado di identificare i diversi problemi di natura tecnica o relazionale.
[18:38]  In più l'istruttore deve saper organizzare le attività e dare costantemente messaggi in una sequenza che sia facile da seguire così che alla fine della lezione sia possibile per tutti comprendere che cosa è stato appreso e quali saranno invece i successivi obiettivi.
[19:01]  Partendo dal principio guida dell'insegnamento, ovvero la convinzione che tutti gli allievi possano imparare, è importante che l'istruttore riconosca e assecondi le differenze individuali, andando incontro alle diverse esigenze degli elementi del gruppo.
[19:21]  Questo comporta che sappia adottare una didattica varia che garantisca un'alternanza di stimoli per poter assicurare a ciascuno un parziale adattamento al proprio personale stile di apprendimento.
[19:37]  Non è facile per l'istruttore affrontare la giornata lavorativa. Ci sono allievi che mettono a dura prova la pazienza degli insegnanti.
[19:47]  In più, anche l'istruttore può incontrare delle difficoltà, come per esempio la paura di essere criticato e il saper trovare il giusto equilibrio tra severità e flessività, per poter concedere quel grado di autonomia e libertà sufficienti a favorire l'apprendimento.
[20:07]  A volte è necessario prevedere percorsi didattici differenziati sulla base delle diverse difficoltà che gli allievi possano presentare.
[20:17]  È necessario che l'istruttore sappia essere tempestivo e specifico per poter colmare le lacune che potrebbero compromettere il percorso di apprendimento.
[20:29]  Con questo argomento termina il mio intervento. Spero di essere stata chiara ed utile per il vostro futuro lavoro come istruttori.
