[00:00]  Buongiorno a tutti e buongiorno a tutti.
[12:25]  e l'ossigeno all'interno del corpo umano non ha riserve o perlomeno ha delle riserve che durano pochissimo,
[12:36]  anche facendo un'iperventilazione l'ossigeno che rimane a disposizione per poter sopravvivere
[12:46]  dura pochi minuti e quindi deve essere continuamente rifornito.
[12:54]  Il rifornimento come avviene? Avviene andandolo a prendere dall'esterno,
[13:02]  quindi l'ossigeno è presente nell'aria a una percentuale di circa il 20%
[13:10]  e attraverso l'apparato respiratorio con l'azione dei muscoli respiratori
[13:16]  l'ossigeno scende nelle vie aeree fino ad arrivare agli alveoli
[13:23]  e a questo punto la struttura alveolare, cioè di questi acini pieni d'aria,
[13:33]  viene a stretto contatto con i capillari sanguigni, quindi l'ossigeno passa dall'aria al sangue,
[13:46]  così come l'anidride carbonica passa dal sangue all'aria, quindi strada opposta
[13:54]  e entrando nel circolo ematico l'ossigeno viene poi trasportato in tutto l'organismo
[14:03]  perché serve a tutti gli organi apparati, quindi non solo ai muscoli,
[14:07]  però arrivato ai muscoli viene estratto dall'apparato cardiocircolatorio
[14:14]  e viene estratto e viene poi utilizzato per produrre energia, sostanzialmente viene utilizzato per produrre energia.
[14:22]  Quindi è chiaro che l'apparato respiratorio e l'apparato cardiovascolare sono gli apparati che consentono di rifornire di ossigeno il muscolo.
[14:38]  Tutto questo è controllato dal sistema nervoso centrale e dal sistema nervoso periferico.
[14:51]  Il sistema nervoso centrale è contenuto e protetto all'interno della scatola cranica
[15:03]  e praticamente è cervello, cervelletto e dal cervelletto si scende in un altro contenitore che è la colonna vertebrale.
[15:17]  All'interno della colonna vertebrale abbiamo il midollo spinale che è un prolungamento del sistema nervoso centrale.
[15:26]  Naturalmente questo lo si può vedere nelle figure anatomiche che sono disponibili.
[15:36]  Dal midollo spinale ci sono, escono e entrano dei nervi che hanno la funzione di portare ordini prevalentemente alla periferia
[15:56]  soprattutto nei nervi spinali abbiamo i motoneuroni che sono le afferenze ai muscoli che ordinano ai muscoli di contrarsi
[16:17]  e naturalmente di ritorno tutti i nervi prevalentemente della sensibilità che informano il cervello della situazione periferica.
[16:30]  La situazione periferica complessa perché naturalmente i nervi che portano notizie al sistema nervoso centrale portano notizie non solo di dolore ma anche di pressione,
[16:47]  di temperatura, di movimento dello spazio, quindi praticamente il sistema nervoso centrale è costantemente informato di tutto quello che succede in periferia.
[17:07]  Alcune di queste notizie arrivano fino a livello della coscienza, quindi arrivano fino alla corteccia cerebrale, quindi sono notizie che il cervello elabora,
[17:24]  non è cosciente, comprende quello che sta succedendo in periferia e agisce volontariamente di conseguenza, quindi decide di muovere un arto,
[17:43]  di fare un determinato movimento oppure di effettuare una deglutizione, di forzare un atto respiratorio, altre informazioni invece rimangono a livello più basso,
[17:58]  invece non arrivano a livello della coscienza ma hanno un ritorno di effettuazione di azioni, quindi nei nervi che escono per, diciamo così, effettuare per esempio dei movimenti,
[18:16]  senza che sia coinvolta la coscienza e quindi la corteccia cerebrale. Se tutte quelle informazioni per esempio che si fermano al cervelletto vengono elaborate per esempio per mantenere la postura,
[18:32]  quando una persona cammina, sta in piedi e non cade perché nonostante l'appoggio dei piedi sia un'area minima rispetto alla struttura corporea, una persona dovrebbe cadere in continuazione,
[18:51]  perché, voglio dire, mantenere la postura eretta è una cosa piuttosto complicata, beh il fatto di stare in piedi non arriva alla coscienza perché sennò la persona sarebbe costretta ogni momento a decidere ogni piccolo movimento di qualsiasi piccolo muscolo che gli consenta di rimanere dritto e di non cadere per terra.
[19:16]  Questo tipo di segnale non arriva a livello della coscienza e quindi arrivano delle notizie al sistema nervoso centrale ma non alla coscienza della posizione del corpo e possono arrivare dall'orecchio interno, dal sistema, diciamo così, di controllo della posizione della testa,
[19:39]  dalla pressione dei piedi, dalla vista per la posizione nello spazio, tutte queste notizie vengono elaborate e i muscoli, prevalentemente degli arti inferiori ma anche del tronco, si contraggono in maniera sinergica per consentire alla persona di non cadere e di rimanere in piedi,
[20:03]  uguale quando si cammina, uno può decidere con la propria mente, con la propria volontà se camminare piano, camminare più veloce o se addirittura correre, però quando uno cammina si cammina senza pensare e questo movimento diventa semiautomatico.
[20:21]  Oltre a tutto questo, quindi tutto un sistema di afferenze per quello che riguarda tutta la periferia del corpo umano e tutto quello che riguarda invece tutte le afferenze, cioè tutti gli ordini che attraverso il sistema nervoso centrale arrivano in periferia,
[20:49]  abbiamo poi un sistema nervoso autonomo, un sistema nervoso autonomo significa che è un sistema nervoso periferico ma che non arriva al sistema nervoso centrale, non arriva al sistema nervoso centrale e quindi si praticamente si autoregola.
[21:12]  Questo sistema nervoso autonomo è bilanciato tra un sistema nervoso simpatico e un sistema nervoso parasimpatico.
[21:28]  Ognuno di questi due sistemi periferici autonomi media in quanto il sistema nervoso simpatico facilita determinate situazioni e ne blocca delle altre e il parasimpatico effettua ugualmente un sistema da una parte di facilitazione e dall'altra parte di blocco comunque di controllo.
[21:57]  Una buona parte degli organi interni sono regolati attraverso il sistema nervoso autonomo, quindi la motilità intestinale, altri organi come lo stomaco, il rene, i bronchi, i vasi sanguigni, le ghiandole, le sudoripare, eccetera eccetera,
[22:23]  hanno tutti una autoregolazione attraverso il sistema nervoso autonomo che regola queste funzioni di questi tessuti in funzione del cambiamento delle situazioni.
[22:43]  Per esempio, le fibre che per quello che riguarda il sistema nervoso autonomo vanno a dare dei segnali, quindi a dare degli stimoli alle ghiandole sudoripare, sono collegate al calore interno,
[23:08]  quindi ci sono dei recettori di temperatura, dei recettori anche di volume plasmatico e di liquidi intracellulari, questi recettori segnalano quando la temperatura del corpo incomincia a aumentare,
[23:27]  a questo punto automaticamente senza passare attraverso il sistema nervoso centrale vengono dati alle ghiandole sudoripare gli ordini di cominciare a eliminare sudore,
[23:45]  eliminare acqua che arrivate poi sulla pelle evaporerà e provocherà di riflesso il raffreddamento della cuta stessa e quindi in parte il raffreddamento all'interno del corpo.
[24:00]  Iden per quello che riguarda l'intestino, quindi la ripienezza intestinale per riflesso stimolerà la motilità dell'intestino e quindi la progressione e poi l'eliminazione delle feci.
[24:18]  Il sistema nervoso simpatico e parasimpatico agiscono anche sul cuore che ha una sua innervazione e che consente questa innervazione complessa perché ha un'innervazione sua autonoma
[24:41]  in più delle afferenze del sistema nervoso simpatico e del sistema nervoso parasimpatico che controllano prevalentemente la frequenza cardiaca, quindi il numero dei battiti al minuto.
[24:56]  Il sistema simpatico tende a far aumentare la frequenza cardiaca, quindi ad aumentare il numero dei battiti cardiaci al minuto, mentre il sistema parasimpatico tende a far ridurre la frequenza cardiaca, quindi a ridurre il numero dei battiti al minuto.
[25:16]  Alcune situazioni, alcuni alimenti e alcuni farmaci possono stimolare il sistema nervoso simpatico o il sistema nervoso parasimpatico, per cui per esempio come alimenti il caffè e quindi la caffeina agiscono stimolando il sistema nervoso simpatico e quindi facendo aumentare il numero dei battiti cardiaci,
[25:44]  così pure la ripienezza gastica durante la digestione. Anche alcuni ormoni fanno aumentare, stimolano il sistema nervoso nel senso di far aumentare i battiti, quindi per esempio in una situazione dove l'essere umano si trova in un momento di paura o di stress,
[26:07]  gli ormoni prodotti soprattutto da parte della surrenale stimolano il sistema simpatico e fanno battere il cuore più veloce, quindi quando uno dice mi tiene il batticuore perché semplicemente lo stress, la paura, il nervoso, l'avvicinarsi di una competizione
[26:32]  stimolano il sistema nervoso simpatico a far battere il cuore più velocemente, così pure ci sono dei farmaci e vengono utilizzati chiaramente, nel caso in cui i battiti siano più veloci o più lenti, che sono antiaritmici e che servono per regolare il battito cardiaco.
[26:55]  Il sistema nervoso simpatico parasimpatico agisce anche sui bronchi e sui bronchioli perché anche le vie respiratorie sono perlomeno le più grosse vie respiratorie, non certo a livello degli alveoli polmonari, hanno una loro tunica muscolare, cioè praticamente sono circondati da muscolatura liscia
[27:24]  che può determinare un restringimento o un allargamento delle vie bronchiali, per esempio negli asmatici noi avremo uno stimolo eccessivo dei recettori che producono poi di riflesso il restringimento delle vie bronchiali.
[27:52]  A questo punto si utilizzeranno dei farmaci bronchodilatatoriche, quindi che stimolano il sistema nervoso autonomo a far dilatare i bronchi, o agendo in maniera diretta o agendo per via indiretta, cioè direttamente sulla muscolatura bronchiale o agendo indirettamente sulla muscolatura bronchiale.
[28:20]  Per quello che riguarda per esempio sempre il sistema nervoso centrale per gli sport, diciamo per qualsiasi tipo di sport, l'attività muscolare deve inizialmente passare attraverso la corteccia cerebrale,
[28:44]  cioè per imparare un movimento, per imparare a nuotare, bisogna che lo stimolo e bisogna che l'analisi del movimento e l'effettuazione del movimento passi attraverso la volontarietà, perché io se non so fare una cosa devo imparare a farla.
[29:08]  La differenza tra un movimento naturale e un movimento che deve essere imparato e memorizzato è questa, il movimento che bisogna imparare a fare deve passare attraverso la coscienza.
[29:28]  Una volta si diceva che il nuoto è un'arte perché è un'arte in quanto bisogna imparare a farlo, non è un qualcosa di naturale ma deve essere imparato assolutamente.
[29:44]  Pertanto una volta però che l'organismo, il cervello ha memorizzato quell'adattazione motoria, questa si può svolgere anche in modalità semi-automatica.
[30:00]  Quindi il nuotatore che ha imparato a nuotare, che ha memorizzato i suoi gesti, che ha memorizzato i suoi movimenti, che ha capito come deve entrare in acqua, come deve muovere il braccio, come deve sentire l'acqua, quindi sentire la pressione dell'acqua,
[30:18]  a un certo punto nuoterà in situazione di semi-volontarietà, quindi interverà solo nei momenti in cui dovrà decidere una determinata azione motoria non ripetitiva.
[30:34]  Quindi finché nuota nella vasca, diciamo così nuoto libero, sarà un nuoto cadenzato e continuo, nel momento della virata dovrà pensare a quando vedere e guardare il bordo, decidere quando è il momento migliore per iniziare la modalità gestuale della virata.
[31:00]  E mentre nuota decidere quando è il caso di cominciare a aumentare l'applicazione della forza per cercare o di incrementare la velocità o resistere all'affaticamento, quindi un misto di volontario e involontario.
[31:20]  Con questo direi che abbiamo parlato a sufficienza per quello che riguarda le funzioni del sistema nervoso centrale periferico.
[31:33]  Per quello che riguarda invece l'apparato respiratorio, quindi la prima parte del tragitto dell'ossigeno dall'esterno all'interno del corpo,
[31:47]  l'apparato respiratorio ha la stessa via che serve per l'andata che per il ritorno dell'aria, mentre vedremo che invece per quello che riguarda l'apparato cardiovascolare la mandata, l'andata del sangue, il ritorno del sangue sono su due vie differenti.
[32:08]  Quindi apparato respiratorio, stessa via per l'entrata, stessa via per l'uscita dell'aria.
[32:15]  L'apparato respiratorio è relativamente complesso nel senso che l'aria entra all'interno del corpo umano per due possibili vie o direttamente nel cavo orale o attraverso le vie nasali.
[32:34]  Quindi, inspirando attraverso le vie nasali, la strada è un pochettino più lunga e normalmente la quantità d'aria che passa nell'unità di tempo attraverso le vie nasali è un pochettino più bassa, ma ha il vantaggio di potersi riscaldare e umidificare meglio prima di entrare nella cassa toracica.
[33:01]  La via orale è più veloce, però non permette questa facilitazione.
[33:10]  Le due vie nasale e orale si uniscono a livello del faringe. A livello del faringe, a questo punto, diventa un'unica via e attraverso l'apertura che divide la via respiratoria invece dalla via digestiva, entrerà nella trachea.
[33:37]  La trachea è un condotto relativamente ampio, si mantiene per via costantemente, quindi non collabisce mai perché è strutturata in maniera da essere sostenuta da degli anelli di cartilagine.
[33:57]  Quindi, mentre la via digestiva è più floscia e l'esofago, che è il tubo che porta gli alimenti allo stomaco, quando è vuoto, collabisce, si attacca quasi, la via respiratoria rimane sempre aperta.
[34:17]  La trachea, quindi, entra nella cassa toracica. Nel passaggio tra il faringe e la trachea abbiamo l'organo della fonazione, si passa attraverso l'aringe, che è un organo, anche questo, piuttosto complesso, dove alloggiano le corde vocali.
[34:42]  Le corde vocali sono strutture fibrose, in tensione, che vibrano col passaggio dell'aria, hanno la possibilità di divaricarsi o di accostarsi, e nelle varie posizioni delle corde vocali e nelle varie modalità di vibrazione delle corde vocali si producono suoni diversi,
[35:09]  che poi sono quelli che consentono la parola e nell'uomo una possibilità di emettere suoni di grande diversità, che poi sono quelli che consentono il rapporto interpersonale, diciamo, di alta specificità.
[35:32]  Comunque, ritornando al passaggio dell'aria, la trachea a un certo punto all'interno della cassa toracica si biforca nei due bronchi principali, quindi uno va al polmone destro, uno va al polmone sinistro.
[35:50]  I bronchi si poi suddividono a loro volta, come i rami di un albero, in vie che diventano sempre più numerose, sempre più strette, quindi bronchi ioli, bronchi, bronchi ioli, bronchi ioli terminali, fino agli alveoli.
[36:10]  Gli alveoli sono questi piccolissimi, possiamo chiamarli in maniera diciamo poco scientifica, piccolissimi sacchetti a parete sottilissima che si riempiono ad aria e consentono poi questi scambi con il sangue.
[36:30]  La via respiratoria di ritorno dell'aria rimane esattamente la stessa, quindi si ritorna su per le stesse vie fino a emettere l'aria, che questo può avvenire sia attraverso le cavità nasali e sia attraverso la via orale, quindi attraverso la bocca.
[36:57]  Il fatto che attraverso la bocca sia la quantità d'aria che esce nell'unità del tempo sia superiore fa capire perché quando una persona respira fannosamente, respira prevalentemente con la bocca e non col naso per cercare di far entrare e uscire dai polmoni la maggior quantità d'aria possibile.
[37:22]  Ma come è possibile che l'aria entri ed esca dai polmoni? Beh questo viene per un meccanismo di pressione positiva o negativa, quindi questo meccanismo di pressione positiva o negativa viene messo in atto dalla muscolatura.
[37:43]  Quindi noi abbiamo questa gabbia toracica e quindi tutto l'insieme di vertebre e coste esterno che circondano i polmoni, tutto quello che fa muovere la gabbia toracica espandendola o riducendola crea dei cambiamenti di pressione interna.
[38:08]  Quindi nel momento in cui i muscoli agiscono espandendo e quindi aumentando i diametri della gabbia toracica sia in senso trasversale che in senso longitudinale si crea all'interno una pressione negativa,
[38:24]  quindi una pressione inferiore a quella esterna e questo obbliga l'aria dall'esterno ad entrare verso l'interno, quindi pressione negativa e l'aria entra fino agli alveoli polmonari.
[38:40]  I muscoli che agiscono per effettuare questo movimento della cassa che determina una pressione negativa sono il diaframma che abbassandosi il muscolo, diciamo, piatto, molto sottile ma abbastanza ampio,
[39:04]  che nel contrarsi si abbassa, abbassandosi determina un aumento del diametro longitudinale del polmone, mentre i muscoli intercostali agiscono invece più che altro alzando le coste e quindi aumentando invece il diametro trasversale della cassa toracica.
[39:30]  È chiaro che per una respirazione a riposo questi movimenti sono impercettibili e si può usare preferibilmente una respirazione più diaframmatica o più intercostale,
[39:48]  certe volte la respirazione è talmente leggera che non si vede neanche il movimento della cassa toracica dall'esterno, quando invece la necessità di rifornimento d'aria è molto elevata,
[40:02]  allora entrano in funzione anche tutta una serie di muscoli accessori, che si possono chiamare accessori, che vanno a contrarsi per aumentare al massimo l'espansione del torace.
[40:18]  Voi vedete che quando una persona respira affannosamente addirittura tirano i muscoli del collo, perché cominciano anche a funzionare i muscoli esterno, che l'hai da bastone idee, e anche tutta una serie di muscolatura esterna del tronco superiore,
[40:38]  e questo consente una maggior possibilità di entrata dell'aria, quindi un maggior numero di litri d'aria che entrano nella cassa toracica.
[40:51]  Idem per quello che riguarda l'espirazione, c'è però una differenza, che mentre nell'espirazione normale a riposo l'espirazione viene semplicemente effettuata grazie alla forza elastica accumulata dai muscoli e da alte strutture elastiche,
[41:12]  che ritornando nella posizione rilasciandosi determinano un aumento della pressione interna per cui l'aria defluisce e viene eliminata attraverso la bocca o il naso, quindi diventa un movimento passivo.
[41:29]  Noi nell'inspirazione abbiamo messo in tensione delle strutture, dei muscoli, dei tendini, e nel momento in cui rilasciamo il muscolo la forza elastica fa sì che aumenti la pressione interna e che l'aria quindi esca dall'apparato respiratorio.
[41:48]  Nel caso della respirazione forzata invece dovremo usare dei muscoli di nuovo per poter aumentare in maniera più significativa questa pressione interna e per far uscire l'aria più rapidamente in maggior quantità.
[42:08]  Questo consente di passare a un numero, non solo una quantità d'aria maggiore per ogni singolo atto respiratorio, ma aumentare la frequenza respiratoria.
[42:21]  Quindi noi avremo una meccanica respiratoria che cambia in questo senso. Noi avremo a riposo circa una dozzina di atti respiratori al minuto, quindi si respira una dodici volte al minuto.
[42:42]  Ogni volta che si respira entrano e escono circa 500 cc, circa mezzo litro d'aria, quindi entra mezzo litro d'aria, esce mezzo litro d'aria per dodici volte, quindi facendo un rapido calcolo saranno sei litri d'aria che si respirano al minuto.
[43:00]  Quando invece si respira in maniera completamente affannosa, allora ogni singola respirazione potrà essere anche di 3 litri o più, ci sono degli atleti che possono in un secondo riuscire in meno di un secondo a inspirare anche 4-5 litri d'aria.
[43:23]  Questo viene moltiplicato non per dodici atti respiratori, ma usando la muscolatura in maniera diversa fino a 40-50 atti respiratori al minuto, quindi da 6 litri si arriverà a ventilare 150 o più litri al minuto.
[43:43]  E quindi avremo una ventilazione che è 20-30 volte di più rispetto alla ventilazione che avevamo avuto a riposo. Questo cosa comporta? Comporta un maggior rapporto di ossigeno in caso di necessità.
[44:07]  L'ossigeno serve non solo durante l'attività fisica, l'attività muscolare, quindi il muscolo richiede ossigeno, però quando si lavora con modalità completamente aerobiche, alla fine dell'attività muscolare il respiro potrà ritornare assolutamente normale,
[44:30]  quindi ritornerà immediatamente, diciamo così, con la frequenza o quasi immediatamente ad una frequenza respiratoria di base, quindi 12-15 atti respiratori al minuto.
[44:44]  Quando invece si lavora con modalità anche anaerobiche e quindi si contrae un debito di ossigeno, perché poi a un certo punto tutto si rifà, anche l'anaerobico finita la prestazione deve essere riciclato ad aerobico, il pagamento del debito di ossigeno avviene nella fase successiva allo sforzo.
[45:12]  E quindi la respirazione rimarrà fannosa ancora per un certo periodo di tempo, più si contrae debito di ossigeno e più la respirazione rimane fannosa a lungo.
[45:26]  Quindi la fanno e la modalità di respirazione per un tecnico, un allenatore attento diventa un indice di controllo dell'affaticamento dell'atleta sotto sforzo.
[45:43]  Per questa lezione è tutto, vi ringrazio per l'attenzione, nella prossima parleremo dell'apparato muscolare e dell'apparato locomotore.
[45:56]  Sottotitoli creati dalla comunità Amara.org
